Disease,Symptom,HealthTips
Anemia,"[""constipation"", ""blurred vision"", ""dizziness"", ""swelling"", ""joint pain"", ""agitation"", ""seizure"", ""sleeplessness""]",Avoid known triggers and allergens.
COPD,"[""seizure"", ""blurred vision"", ""weight loss"", ""vomiting"", ""loss of smell"", ""shortness of breath"", ""fatigue""]",Avoid known triggers and allergens.
Asthma,"[""vomiting"", ""joint pain"", ""palpitations"", ""cough"", ""constipation""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""tremor"", ""fever"", ""joint pain"", ""sore throat"", ""nausea"", ""diarrhea"", ""rash"", ""swelling""]",Avoid known triggers and allergens.
Hyperthyroidism,"[""chill"", ""dizziness"", ""blurred vision"", ""fatigue"", ""dizziness"", ""shortness of breath"", ""chest pain""]",Ensure regular check-ups with your healthcare provider.
Coronary artery disease,"[""chest pain"", ""dizziness"", ""cough"", ""swelling""]",Engage in regular physical activity appropriate to your condition.
Tuberculosis,"[""nausea"", ""shortness of breath"", ""loss of smell"", ""blurred vision"", ""fatigue"", ""dizziness"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""night sweats"", ""sleeplessness"", ""rash"", ""fever"", ""nausea"", ""chill""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""constipation"", ""swelling"", ""dizziness"", ""weight loss""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""palpitations"", ""loss of smell"", ""shortness of breath"", ""seizure""]",Avoid known triggers and allergens. Maintain hygiene to prevent infections.
Gastroenteritis,"[""dizziness"", ""blurred vision"", ""chill""]",Maintain hygiene to prevent infections.
Tuberculosis,"[""dizziness"", ""tremor"", ""swelling"", ""joint pain"", ""nausea"", ""chest pain"", ""sleeplessness"", ""blurred vision""]",Avoid known triggers and allergens.
Epilepsy,"[""nausea"", ""shortness of breath"", ""chill"", ""dizziness"", ""agitation"", ""dizziness"", ""constipation""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""sleeplessness"", ""loss of smell"", ""constipation"", ""swelling"", ""seizure"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""fever"", ""seizure"", ""night sweats"", ""headache"", ""shortness of breath"", ""sleeplessness"", ""cough""]",Maintain a balanced diet and stay hydrated. Stay informed and get vaccinated when available.
Tuberculosis,"[""confusion"", ""dizziness"", ""sleeplessness"", ""chest pain"", ""muscle twitch"", ""loss of smell"", ""cough""]",Ensure regular check-ups with your healthcare provider. Avoid known triggers and allergens.
Gastroenteritis,"[""tremor"", ""shortness of breath"", ""muscle twitch"", ""weight loss"", ""palpitations"", ""fever"", ""dizziness""]",Stay informed and get vaccinated when available.
Hypertension,"[""palpitations"", ""confusion"", ""seizure"", ""tremor"", ""joint pain"", ""dizziness"", ""vomiting""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Adhesion,"[""joint pain"", ""rash"", ""constipation"", ""seizure"", ""sore throat"", ""swelling""]",Stay informed and get vaccinated when available.
Pneumocystis carinii pneumonia,"[""vomiting"", ""confusion"", ""headache"", ""fatigue"", ""joint pain"", ""blurred vision"", ""constipation""]",Practice stress-reducing techniques like meditation.
Epilepsy,"[""loss of taste"", ""chest pain"", ""headache""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""nausea"", ""diarrhea"", ""cough""]",Follow prescribed medication schedules carefully.
COPD,"[""seizure"", ""loss of taste"", ""constipation"", ""dizziness"", ""confusion""]",Avoid known triggers and allergens.
Parkinson's disease,"[""headache"", ""confusion"", ""vomiting"", ""night sweats"", ""swelling""]",Avoid known triggers and allergens.
Rheumatoid arthritis,"[""nausea"", ""loss of taste"", ""vomiting"", ""sleeplessness"", ""chest pain"", ""agitation"", ""headache""]",Stay informed and get vaccinated when available. Maintain hygiene to prevent infections.
Parkinson's disease,"[""fatigue"", ""vomiting"", ""fever"", ""chill"", ""confusion"", ""blurred vision""]",Maintain hygiene to prevent infections. Maintain a balanced diet and stay hydrated.
Anemia,"[""dizziness"", ""cough"", ""seizure""]",Get adequate rest and sleep. Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""nausea"", ""chill"", ""palpitations"", ""fatigue"", ""confusion"", ""vomiting"", ""rash"", ""tremor""]",Follow prescribed medication schedules carefully.
Asthma,"[""diarrhea"", ""fever"", ""headache"", ""agitation"", ""blurred vision"", ""dizziness""]",Stay informed and get vaccinated when available. Get adequate rest and sleep.
Tuberculosis,"[""night sweats"", ""tremor"", ""rash"", ""sleeplessness"", ""confusion"", ""sore throat"", ""chill""]",Practice stress-reducing techniques like meditation. Quit smoking and avoid alcohol consumption.
Hypertension,"[""chill"", ""cough"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Adenocarcinoma,"[""cough"", ""rash"", ""diarrhea"", ""seizure"", ""sore throat"", ""constipation""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""rash"", ""sore throat"", ""fatigue"", ""chest pain"", ""night sweats"", ""dizziness""]",Follow prescribed medication schedules carefully. Quit smoking and avoid alcohol consumption.
Asthma,"[""blurred vision"", ""sleeplessness"", ""fever"", ""agitation""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""diarrhea"", ""muscle twitch"", ""dizziness"", ""loss of smell"", ""joint pain""]",Engage in regular physical activity appropriate to your condition. Maintain hygiene to prevent infections.
COVID-19,"[""weight loss"", ""fever"", ""vomiting""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""tremor"", ""rash"", ""vomiting"", ""chill"", ""loss of smell"", ""nausea"", ""night sweats"", ""weight loss""]",Get adequate rest and sleep.
COVID-19,"[""tremor"", ""nausea"", ""weight loss"", ""vomiting"", ""confusion"", ""swelling"", ""dizziness""]",Engage in regular physical activity appropriate to your condition.
Parkinson's disease,"[""loss of smell"", ""diarrhea"", ""shortness of breath"", ""chill"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Hypertension,"[""dizziness"", ""seizure"", ""nausea"", ""confusion"", ""sleeplessness""]",Follow prescribed medication schedules carefully.
Asthma,"[""chest pain"", ""headache"", ""chill"", ""sleeplessness"", ""dizziness"", ""joint pain"", ""chill"", ""swelling""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""seizure"", ""loss of taste"", ""fever"", ""swelling"", ""headache"", ""sore throat""]",Maintain a balanced diet and stay hydrated. Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""joint pain"", ""dizziness"", ""dizziness"", ""tremor""]",Engage in regular physical activity appropriate to your condition.
Parkinson's disease,"[""confusion"", ""blurred vision"", ""muscle twitch"", ""rash"", ""tremor"", ""fever"", ""loss of smell""]",Maintain a balanced diet and stay hydrated.
Migraine,"[""vomiting"", ""fatigue"", ""constipation"", ""swelling""]",Quit smoking and avoid alcohol consumption.
Coronary artery disease,"[""joint pain"", ""blurred vision"", ""fatigue"", ""agitation""]",Avoid known triggers and allergens.
Coronary artery disease,"[""fever"", ""nausea"", ""rash""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""chest pain"", ""sleeplessness"", ""night sweats"", ""shortness of breath"", ""fever"", ""fatigue"", ""dizziness""]",Engage in regular physical activity appropriate to your condition.
Tuberculosis,"[""headache"", ""cough"", ""loss of smell"", ""rash"", ""agitation"", ""shortness of breath"", ""chill""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Hyperthyroidism,"[""cough"", ""rash"", ""diarrhea"", ""sleeplessness"", ""fever""]",Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""diarrhea"", ""seizure"", ""chill"", ""muscle twitch"", ""tremor"", ""vomiting"", ""shortness of breath""]",Ensure regular check-ups with your healthcare provider. Follow prescribed medication schedules carefully.
Hypothyroidism,"[""loss of smell"", ""chill"", ""joint pain"", ""chill"", ""constipation"", ""nausea"", ""headache"", ""muscle twitch""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""dizziness"", ""confusion"", ""dizziness"", ""agitation"", ""night sweats"", ""shortness of breath"", ""blurred vision""]",Avoid known triggers and allergens. Stay informed and get vaccinated when available.
Hypothyroidism,"[""loss of smell"", ""joint pain"", ""loss of taste"", ""sleeplessness"", ""chest pain"", ""nausea"", ""blurred vision"", ""rash""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
COVID-19,"[""chest pain"", ""seizure"", ""sore throat"", ""night sweats""]",Follow prescribed medication schedules carefully.
Migraine,"[""night sweats"", ""chill"", ""chill"", ""sleeplessness"", ""confusion"", ""joint pain""]",Maintain hygiene to prevent infections. Stay informed and get vaccinated when available.
Migraine,"[""sleeplessness"", ""swelling"", ""nausea""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""cough"", ""dizziness"", ""vomiting"", ""joint pain""]",Maintain a balanced diet and stay hydrated. Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""confusion"", ""swelling"", ""fatigue"", ""constipation"", ""loss of smell"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Adhesion,"[""chill"", ""swelling"", ""confusion"", ""blurred vision"", ""cough"", ""night sweats""]",Quit smoking and avoid alcohol consumption.
Coronary artery disease,"[""fever"", ""muscle twitch"", ""diarrhea"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
Asthma,"[""vomiting"", ""loss of smell"", ""fever"", ""rash"", ""confusion""]",Practice stress-reducing techniques like meditation.
Anemia,"[""muscle twitch"", ""nausea"", ""seizure"", ""headache"", ""blurred vision""]",Practice stress-reducing techniques like meditation. Quit smoking and avoid alcohol consumption.
Gastroenteritis,"[""dizziness"", ""loss of taste"", ""fever"", ""palpitations"", ""sore throat"", ""chest pain"", ""shortness of breath"", ""tremor""]",Ensure regular check-ups with your healthcare provider. Engage in regular physical activity appropriate to your condition.
Alzheimer's disease,"[""fever"", ""vomiting"", ""sore throat""]",Follow prescribed medication schedules carefully.
Rheumatoid arthritis,"[""muscle twitch"", ""loss of taste"", ""seizure"", ""cough""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""shortness of breath"", ""sore throat"", ""dizziness"", ""chill"", ""blurred vision"", ""fatigue"", ""rash"", ""loss of smell""]",Avoid known triggers and allergens.
Anemia,"[""headache"", ""palpitations"", ""swelling"", ""dizziness"", ""sleeplessness""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
Adenocarcinoma,"[""vomiting"", ""confusion"", ""night sweats"", ""sleeplessness"", ""blurred vision""]",Maintain hygiene to prevent infections.
Tuberculosis,"[""headache"", ""diarrhea"", ""rash"", ""dizziness"", ""joint pain""]",Quit smoking and avoid alcohol consumption. Engage in regular physical activity appropriate to your condition.
Diabetes mellitus,"[""shortness of breath"", ""night sweats"", ""fever"", ""diarrhea"", ""blurred vision"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""chill"", ""sore throat"", ""seizure"", ""weight loss"", ""dizziness"", ""palpitations""]",Avoid known triggers and allergens. Ensure regular check-ups with your healthcare provider.
Tuberculosis,"[""muscle twitch"", ""swelling"", ""palpitations"", ""chill"", ""sleeplessness""]",Avoid known triggers and allergens.
Depression,"[""fever"", ""confusion"", ""weight loss"", ""palpitations"", ""constipation"", ""chill"", ""chill"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Parkinson's disease,"[""dizziness"", ""loss of taste"", ""rash"", ""confusion"", ""fatigue"", ""agitation""]",Engage in regular physical activity appropriate to your condition. Get adequate rest and sleep.
Hypertension,"[""fatigue"", ""constipation"", ""loss of taste"", ""joint pain""]",Avoid known triggers and allergens.
Diabetes mellitus,"[""weight loss"", ""loss of smell"", ""chill"", ""nausea"", ""fatigue"", ""fever"", ""vomiting"", ""tremor""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""shortness of breath"", ""swelling"", ""diarrhea"", ""dizziness"", ""nausea"", ""fever"", ""chest pain"", ""vomiting""]",Stay informed and get vaccinated when available. Ensure regular check-ups with your healthcare provider.
Tuberculosis,"[""night sweats"", ""palpitations"", ""constipation"", ""muscle twitch"", ""fatigue"", ""dizziness"", ""dizziness""]",Ensure regular check-ups with your healthcare provider. Maintain hygiene to prevent infections.
COPD,"[""sleeplessness"", ""seizure"", ""dizziness"", ""confusion"", ""loss of taste""]",Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""agitation"", ""cough"", ""loss of taste"", ""chill"", ""vomiting"", ""fatigue"", ""headache""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""nausea"", ""loss of taste"", ""fatigue"", ""fever"", ""chill"", ""blurred vision"", ""muscle twitch""]",Maintain hygiene to prevent infections. Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""nausea"", ""blurred vision"", ""night sweats"", ""chill"", ""tremor""]",Quit smoking and avoid alcohol consumption.
Hypertension,"[""nausea"", ""muscle twitch"", ""headache"", ""joint pain""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""dizziness"", ""joint pain"", ""swelling"", ""vomiting"", ""fever"", ""loss of taste""]",Maintain hygiene to prevent infections.
Adenocarcinoma,"[""loss of smell"", ""vomiting"", ""sleeplessness"", ""loss of taste"", ""weight loss"", ""agitation"", ""palpitations""]",Stay informed and get vaccinated when available.
Adhesion,"[""nausea"", ""sore throat"", ""shortness of breath"", ""constipation"", ""sleeplessness""]",Follow prescribed medication schedules carefully.
Parkinson's disease,"[""weight loss"", ""chest pain"", ""agitation"", ""palpitations""]",Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""nausea"", ""sore throat"", ""dizziness""]",Get adequate rest and sleep. Maintain a balanced diet and stay hydrated.
Anemia,"[""vomiting"", ""blurred vision"", ""headache"", ""chill""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""cough"", ""palpitations"", ""muscle twitch"", ""chill""]",Quit smoking and avoid alcohol consumption.
Coronary artery disease,"[""rash"", ""loss of taste"", ""muscle twitch"", ""agitation"", ""night sweats"", ""loss of smell"", ""nausea"", ""joint pain""]",Get adequate rest and sleep.
Parkinson's disease,"[""joint pain"", ""confusion"", ""chill"", ""agitation"", ""chill""]",Get adequate rest and sleep.
Adenocarcinoma,"[""blurred vision"", ""loss of smell"", ""chest pain"", ""chill"", ""joint pain"", ""agitation"", ""palpitations""]",Ensure regular check-ups with your healthcare provider.
Asthma,"[""seizure"", ""cough"", ""dizziness"", ""dizziness"", ""chill"", ""chest pain""]",Avoid known triggers and allergens.
Depression,"[""dizziness"", ""swelling"", ""fatigue""]",Get adequate rest and sleep.
Diabetes mellitus,"[""sore throat"", ""vomiting"", ""palpitations"", ""loss of smell"", ""fatigue"", ""chest pain"", ""nausea"", ""fever""]",Practice stress-reducing techniques like meditation. Follow prescribed medication schedules carefully.
Stroke,"[""loss of smell"", ""night sweats"", ""dizziness"", ""vomiting"", ""swelling"", ""palpitations"", ""agitation"", ""sleeplessness""]",Follow prescribed medication schedules carefully.
Coronary artery disease,"[""rash"", ""sleeplessness"", ""shortness of breath""]",Stay informed and get vaccinated when available.
Gastroenteritis,"[""constipation"", ""dizziness"", ""palpitations"", ""blurred vision"", ""chill"", ""diarrhea""]",Maintain hygiene to prevent infections.
Diabetes mellitus,"[""chill"", ""confusion"", ""headache"", ""diarrhea"", ""chest pain"", ""chill""]",Stay informed and get vaccinated when available.
Anemia,"[""joint pain"", ""confusion"", ""loss of smell"", ""agitation"", ""chill"", ""seizure""]",Maintain hygiene to prevent infections.
Asthma,"[""palpitations"", ""loss of taste"", ""confusion"", ""swelling"", ""headache"", ""loss of smell"", ""fever"", ""sleeplessness""]",Maintain hygiene to prevent infections.
Hyperthyroidism,"[""loss of taste"", ""chill"", ""palpitations"", ""blurred vision"", ""loss of smell"", ""tremor""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""agitation"", ""chill"", ""rash"", ""confusion"", ""tremor"", ""swelling"", ""headache""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Parkinson's disease,"[""blurred vision"", ""constipation"", ""loss of smell""]",Engage in regular physical activity appropriate to your condition.
Diabetes mellitus,"[""loss of smell"", ""palpitations"", ""fever"", ""sleeplessness"", ""nausea"", ""swelling""]",Practice stress-reducing techniques like meditation.
COPD,"[""diarrhea"", ""vomiting"", ""confusion"", ""chest pain"", ""palpitations"", ""cough"", ""sleeplessness""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""night sweats"", ""joint pain"", ""blurred vision"", ""sore throat"", ""loss of smell"", ""dizziness"", ""chest pain""]",Ensure regular check-ups with your healthcare provider.
Stroke,"[""agitation"", ""chill"", ""sleeplessness"", ""fatigue""]",Follow prescribed medication schedules carefully.
Gastroenteritis,"[""constipation"", ""nausea"", ""cough"", ""chill"", ""headache"", ""night sweats"", ""sleeplessness"", ""shortness of breath""]",Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""chill"", ""sore throat"", ""muscle twitch""]",Stay informed and get vaccinated when available.
Alzheimer's disease,"[""night sweats"", ""headache"", ""fatigue"", ""swelling""]",Quit smoking and avoid alcohol consumption.
Coronary artery disease,"[""shortness of breath"", ""chill"", ""seizure""]",Practice stress-reducing techniques like meditation.
Parkinson's disease,"[""diarrhea"", ""loss of smell"", ""fever"", ""fatigue"", ""chest pain"", ""dizziness"", ""seizure""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Asthma,"[""fatigue"", ""sleeplessness"", ""chill"", ""agitation"", ""weight loss"", ""shortness of breath"", ""night sweats"", ""headache""]",Engage in regular physical activity appropriate to your condition.
Rheumatoid arthritis,"[""sleeplessness"", ""palpitations"", ""dizziness"", ""night sweats"", ""joint pain""]",Stay informed and get vaccinated when available.
Hypothyroidism,"[""dizziness"", ""diarrhea"", ""muscle twitch"", ""confusion"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
Depression,"[""weight loss"", ""agitation"", ""night sweats"", ""fever"", ""loss of smell"", ""muscle twitch"", ""chill""]",Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""dizziness"", ""chest pain"", ""blurred vision"", ""chill"", ""palpitations"", ""confusion""]",Get adequate rest and sleep.
Parkinson's disease,"[""dizziness"", ""shortness of breath"", ""muscle twitch"", ""rash"", ""agitation"", ""chest pain""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""headache"", ""blurred vision"", ""confusion"", ""weight loss"", ""vomiting"", ""palpitations"", ""chest pain""]",Avoid known triggers and allergens.
Tuberculosis,"[""palpitations"", ""swelling"", ""joint pain""]",Follow prescribed medication schedules carefully.
Asthma,"[""shortness of breath"", ""loss of smell"", ""night sweats"", ""rash"", ""sleeplessness"", ""headache"", ""tremor"", ""blurred vision""]",Follow prescribed medication schedules carefully. Get adequate rest and sleep.
Coronary artery disease,"[""palpitations"", ""loss of taste"", ""rash"", ""tremor""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""vomiting"", ""tremor"", ""shortness of breath"", ""sleeplessness"", ""chill"", ""confusion"", ""nausea"", ""fever""]",Stay informed and get vaccinated when available. Engage in regular physical activity appropriate to your condition.
Diabetes mellitus,"[""cough"", ""headache"", ""swelling"", ""loss of taste"", ""shortness of breath"", ""dizziness"", ""vomiting"", ""nausea""]",Ensure regular check-ups with your healthcare provider. Engage in regular physical activity appropriate to your condition.
Depression,"[""dizziness"", ""confusion"", ""headache"", ""cough"", ""chest pain"", ""fatigue"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
COPD,"[""chill"", ""loss of taste"", ""fever"", ""blurred vision"", ""dizziness"", ""muscle twitch"", ""nausea""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Asthma,"[""loss of smell"", ""rash"", ""chill"", ""night sweats"", ""diarrhea"", ""joint pain""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
COPD,"[""chill"", ""shortness of breath"", ""confusion""]",Get adequate rest and sleep.
Hyperthyroidism,"[""nausea"", ""rash"", ""dizziness"", ""tremor"", ""chest pain""]",Avoid known triggers and allergens.
Adhesion,"[""vomiting"", ""rash"", ""blurred vision"", ""chill""]",Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""swelling"", ""chill"", ""headache"", ""nausea"", ""dizziness""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""dizziness"", ""muscle twitch"", ""cough"", ""tremor""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""joint pain"", ""loss of smell"", ""constipation""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Parkinson's disease,"[""shortness of breath"", ""night sweats"", ""chill"", ""swelling"", ""diarrhea""]",Follow prescribed medication schedules carefully.
Hypothyroidism,"[""joint pain"", ""weight loss"", ""cough""]",Stay informed and get vaccinated when available.
Adhesion,"[""chill"", ""sleeplessness"", ""joint pain"", ""weight loss"", ""constipation"", ""fatigue"", ""dizziness""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""sleeplessness"", ""joint pain"", ""constipation"", ""agitation"", ""rash"", ""vomiting"", ""shortness of breath""]",Quit smoking and avoid alcohol consumption. Maintain a balanced diet and stay hydrated.
Asthma,"[""vomiting"", ""dizziness"", ""fatigue"", ""tremor"", ""muscle twitch""]",Maintain a balanced diet and stay hydrated. Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""loss of taste"", ""dizziness"", ""rash"", ""night sweats"", ""fatigue""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Hypothyroidism,"[""muscle twitch"", ""chill"", ""night sweats"", ""cough"", ""sleeplessness"", ""chill"", ""rash""]",Maintain hygiene to prevent infections.
Coronary artery disease,"[""chill"", ""palpitations"", ""shortness of breath"", ""muscle twitch"", ""rash"", ""tremor""]",Follow prescribed medication schedules carefully. Quit smoking and avoid alcohol consumption.
Stroke,"[""loss of taste"", ""palpitations"", ""muscle twitch"", ""swelling"", ""diarrhea"", ""sleeplessness"", ""weight loss"", ""tremor""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""seizure"", ""diarrhea"", ""sleeplessness"", ""sore throat"", ""swelling"", ""joint pain"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""chill"", ""muscle twitch"", ""weight loss""]",Stay informed and get vaccinated when available.
Adenocarcinoma,"[""headache"", ""constipation"", ""sore throat"", ""rash"", ""diarrhea"", ""loss of taste"", ""night sweats""]",Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""shortness of breath"", ""loss of smell"", ""headache"", ""swelling"", ""confusion""]",Stay informed and get vaccinated when available.
Adenocarcinoma,"[""chill"", ""fatigue"", ""tremor"", ""headache"", ""shortness of breath"", ""fever""]",Stay informed and get vaccinated when available.
Stroke,"[""cough"", ""shortness of breath"", ""fever"", ""loss of taste"", ""weight loss"", ""nausea"", ""chill""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Coronary artery disease,"[""swelling"", ""loss of taste"", ""chill""]",Stay informed and get vaccinated when available. Maintain a balanced diet and stay hydrated.
Adenocarcinoma,"[""headache"", ""weight loss"", ""fever"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider.
Hyperthyroidism,"[""rash"", ""fatigue"", ""tremor""]",Maintain a balanced diet and stay hydrated.
COVID-19,"[""chill"", ""nausea"", ""diarrhea"", ""constipation"", ""vomiting""]",Maintain a balanced diet and stay hydrated. Quit smoking and avoid alcohol consumption.
Asthma,"[""diarrhea"", ""swelling"", ""vomiting"", ""weight loss"", ""night sweats"", ""cough"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
COPD,"[""dizziness"", ""sore throat"", ""tremor"", ""cough"", ""diarrhea"", ""sleeplessness"", ""constipation"", ""rash""]",Get adequate rest and sleep.
Hypothyroidism,"[""fever"", ""cough"", ""headache"", ""blurred vision"", ""seizure"", ""chill"", ""constipation""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""muscle twitch"", ""dizziness"", ""fever"", ""rash""]",Maintain hygiene to prevent infections.
Stroke,"[""chill"", ""rash"", ""cough""]",Avoid known triggers and allergens. Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""vomiting"", ""loss of smell"", ""fever"", ""joint pain"", ""muscle twitch"", ""headache"", ""tremor"", ""confusion""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""swelling"", ""weight loss"", ""dizziness"", ""loss of smell"", ""seizure"", ""fever"", ""chill"", ""rash""]",Engage in regular physical activity appropriate to your condition. Stay informed and get vaccinated when available.
Hypothyroidism,"[""chill"", ""dizziness"", ""vomiting"", ""cough""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""muscle twitch"", ""seizure"", ""agitation""]",Practice stress-reducing techniques like meditation.
COPD,"[""palpitations"", ""agitation"", ""dizziness"", ""headache"", ""fatigue"", ""cough"", ""blurred vision"", ""diarrhea""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""rash"", ""confusion"", ""diarrhea"", ""joint pain"", ""chill""]",Follow prescribed medication schedules carefully.
Parkinson's disease,"[""tremor"", ""dizziness"", ""chill"", ""constipation""]",Avoid known triggers and allergens. Engage in regular physical activity appropriate to your condition.
Asthma,"[""sore throat"", ""weight loss"", ""sleeplessness"", ""seizure"", ""shortness of breath""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""palpitations"", ""dizziness"", ""weight loss"", ""swelling"", ""loss of taste""]",Quit smoking and avoid alcohol consumption.
Diabetes mellitus,"[""chest pain"", ""muscle twitch"", ""swelling"", ""shortness of breath"", ""nausea"", ""weight loss""]",Maintain hygiene to prevent infections. Stay informed and get vaccinated when available.
Stroke,"[""chest pain"", ""cough"", ""fatigue""]",Avoid known triggers and allergens.
Gastroenteritis,"[""tremor"", ""dizziness"", ""sore throat"", ""fatigue""]",Quit smoking and avoid alcohol consumption.
Migraine,"[""palpitations"", ""swelling"", ""agitation"", ""tremor"", ""blurred vision"", ""chest pain"", ""sleeplessness""]",Practice stress-reducing techniques like meditation.
Hypertension,"[""palpitations"", ""fever"", ""loss of taste"", ""weight loss"", ""joint pain"", ""nausea""]",Get adequate rest and sleep. Follow prescribed medication schedules carefully.
Adhesion,"[""palpitations"", ""fatigue"", ""fever"", ""blurred vision"", ""nausea""]",Practice stress-reducing techniques like meditation. Stay informed and get vaccinated when available.
Coronary artery disease,"[""loss of smell"", ""night sweats"", ""cough"", ""confusion"", ""palpitations"", ""joint pain"", ""chill""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""loss of taste"", ""dizziness"", ""sore throat"", ""swelling"", ""blurred vision""]",Get adequate rest and sleep.
Migraine,"[""loss of taste"", ""joint pain"", ""blurred vision""]",Practice stress-reducing techniques like meditation. Follow prescribed medication schedules carefully.
Asthma,"[""confusion"", ""fatigue"", ""night sweats"", ""cough"", ""diarrhea"", ""dizziness"", ""nausea""]",Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""sore throat"", ""night sweats"", ""tremor"", ""blurred vision"", ""chill"", ""cough"", ""palpitations""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""dizziness"", ""dizziness"", ""fever"", ""cough""]",Engage in regular physical activity appropriate to your condition. Maintain a balanced diet and stay hydrated.
Hypertension,"[""seizure"", ""diarrhea"", ""vomiting"", ""cough"", ""muscle twitch"", ""sleeplessness""]",Practice stress-reducing techniques like meditation.
Depression,"[""night sweats"", ""joint pain"", ""constipation""]",Quit smoking and avoid alcohol consumption.
Parkinson's disease,"[""muscle twitch"", ""confusion"", ""loss of taste""]",Avoid known triggers and allergens. Practice stress-reducing techniques like meditation.
COVID-19,"[""dizziness"", ""diarrhea"", ""swelling""]",Follow prescribed medication schedules carefully.
Migraine,"[""blurred vision"", ""shortness of breath"", ""sore throat""]",Get adequate rest and sleep.
